,Carpet Area,Super Area,Chennai,Delhi,Hyderabad,Kolkata,Mumbai,Semi-Furnished,Unfurnished,Bachelors/Family,Family,Contact Builder,Contact Owner,BHK,Size,Bathroom,0,0
193,0,1,0,0,0,1,0,0,1,1,0,0,1,2,1000,2,5.0,13
194,0,1,0,0,0,1,0,0,1,1,0,0,1,2,392,1,6.0,92
195,0,1,0,0,0,1,0,0,1,1,0,0,1,2,700,1,5.0,12
196,0,1,0,0,0,1,0,0,1,1,0,0,1,1,750,1,5.0,24
197,0,1,0,0,0,1,0,0,1,0,1,0,1,3,1500,2,6.0,12
198,0,1,0,0,0,1,0,0,1,1,0,0,1,2,900,2,4.0,91
199,0,1,0,0,0,1,0,0,0,0,0,0,0,1,710,1,7.0,11
200,1,0,0,0,0,1,0,0,1,1,0,0,1,1,400,1,5.0,93
201,1,0,0,0,0,1,0,0,1,0,0,0,1,1,700,1,6.0,12
202,1,0,0,0,0,1,0,1,0,1,0,0,1,2,1000,1,7.0,92
203,0,1,0,0,0,1,0,0,0,1,0,0,1,1,250,1,6.0,12
204,1,0,0,0,0,1,0,1,0,1,0,0,1,1,500,1,5.0,93
205,1,0,0,0,0,1,0,1,0,1,0,0,1,2,450,1,5.0,22
206,0,1,0,0,0,1,0,0,1,1,0,0,1,3,1400,1,6.0,13
207,1,0,0,0,0,1,0,1,0,1,0,0,1,1,500,1,5.0,11
208,1,0,0,0,0,1,0,0,1,1,0,0,1,2,700,1,6.0,91
209,1,0,0,0,0,1,0,1,0,1,0,0,1,3,1200,1,6.0,13
210,1,0,0,0,0,1,0,0,1,0,0,0,1,2,450,1,6.0,12
211,1,0,0,0,0,1,0,0,0,0,0,0,0,1,500,1,6.0,22
212,1,0,0,0,0,1,0,0,1,1,0,0,1,2,400,1,7.0,91
213,0,1,0,0,0,1,0,0,1,1,0,0,1,3,1000,2,4.0,91
214,1,0,0,0,0,1,0,0,1,0,0,0,1,2,750,1,6.0,91
215,0,1,0,0,0,1,0,0,1,0,1,0,1,1,450,1,6.0,92
216,1,0,0,0,0,1,0,0,1,0,0,0,0,3,1000,2,6.0,12
217,1,0,0,0,0,1,0,0,1,0,0,0,1,2,500,2,7.0,11
218,1,0,0,0,0,1,0,0,1,0,0,0,0,4,1600,2,6.0,91
219,1,0,0,0,0,1,0,0,1,0,0,0,1,2,550,1,7.0,91
220,0,1,0,0,0,1,0,0,1,1,0,0,1,1,550,2,6.0,12
221,0,1,0,0,0,1,0,0,1,1,0,0,1,1,200,1,6.0,23
222,1,0,0,0,0,1,0,0,1,0,0,0,1,2,650,1,6.0,12
223,0,1,0,0,0,1,0,0,0,1,0,0,1,2,1000,2,6.0,11
224,1,0,0,0,0,1,0,0,1,1,0,0,1,2,680,2,5.0,92
225,1,0,0,0,0,1,0,0,1,1,0,0,1,2,720,2,6.0,91
226,1,0,0,0,0,1,0,0,1,0,0,0,1,2,500,1,6.0,45
227,0,1,0,0,0,1,0,0,1,1,0,0,1,2,800,1,6.0,92
228,0,1,0,0,0,1,0,0,1,1,0,0,1,1,160,1,5.0,91
